code,question,option
Q31_b,Q32_Which of the following Yetagon products and services have you heard of? (Please select all that apply.)?,Yetagon EM/Zarmani (ရေတံခွန် ဇာမဏီစွမ်း)
Q31_c,Q32_Which of the following Yetagon products and services have you heard of? (Please select all that apply.)?,Yetagon Trichoderma/Barhmati (ရေတံခွန် ဘာမထီစမ်း)
Q31_d,Q32_Which of the following Yetagon products and services have you heard of? (Please select all that apply.)?,Yetagon Tele-agronomy
Q31_g,Q34_Have you ever heard of Po Chat from Yetagon?,
Q31_i,Q32_Which of the following Yetagon products and services have you heard of? (Please select all that apply.)?,Digital farm practices
Q31_j,Q32_Which of the following Yetagon products and services have you heard of? (Please select all that apply.)?,None of the above
Q31_m,Q32_Which of the following Yetagon products and services have you heard of? (Please select all that apply.)?,Yetagon On-call Service
Q31_other_text,"Q32_If other, please specify",
Q32_a, Have you ever heard which technique?,No Burn Rice Farming
Q32_b, Have you ever heard which technique?,Salt Water Seed Selection
Q32_c, Have you ever heard which technique?,Basal Fertilizer Usage for Rice
Q32_d, Have you ever heard which technique?,Mid-season Fertilizer Usage for Rice
Q32_e, Have you ever heard which technique?,Paddy Liming Acid
Q32_f, Have you ever heard which technique?,Gypsum Appication
Q32_g, Have you ever heard which technique?,Boron Foliar Spray
Q32_h, Have you ever heard which technique?,Epsom Salt Foliar Spray
Q32_i, Have you ever heard which technique?,Neem Pesticide
Q32_j, Have you ever heard which technique?,Fish Amino
Q33_a,Q33_Which of the following Yetagon products and services have you used ? (Please select all that apply.)?,Yetagon Irrigation
Q33_b,Q33_Which of the following Yetagon products and services have you used ? (Please select all that apply.)?,Yetagon EM/Zarmani
Q33_c,Q33_Which of the following Yetagon products and services have you used ? (Please select all that apply.)?,Yetagon Trichoderma/Barhmati
Q33_d,Q33_Which of the following Yetagon products and services have you used ? (Please select all that apply.)?,Yetagon Tele-agronomy
Q33_e,Q33_Which of the following Yetagon products and services have you used ? (Please select all that apply.)?,Digital farm practices
Q33_f,Q33_Which of the following Yetagon products and services have you used ? (Please select all that apply.)?,None of the above
Q33_l,Q33_Which of the following Yetagon products and services have you used ? (Please select all that apply.)?,Yetagon On-call Service
Q33_other_text,"Q33_If other, please specify",
Q34_a,Have you ever used which technique?,No Burn Rice Farming
Q34_b,Have you ever used which technique?,Salt Water Seed Selection
Q34_c,Have you ever used which technique?,Basal Fertilizer Usage for Rice
Q34_d,Have you ever used which technique?,Mid-season Fertilizer Usage for Rice
Q34_e,Have you ever used which technique?,Paddy Liming Acid
Q34_f,Have you ever used which technique?,Gypsum Appication
Q34_g,Have you ever used which technique?,Boron Foliar Spray
Q34_h,Have you ever used which technique?,Epsom Salt Foliar Spray
Q34_i,Have you ever used which technique?,Neem Pesticide
Q34_j,Have you ever used which technique?,Fish Amino
Q36_b,Q31_Which of the following agricultural brands have you heard of (Please select all that apply)?,Yetagon
Q36_other_text,"Q31_If other, please specify",
Q36_q,Q31_Which of the following agricultural brands have you heard of (Please select all that apply)?,Amino Power
Q36_r,Q31_Which of the following agricultural brands have you heard of (Please select all that apply)?,Awba
Q36_s,Q31_Which of the following agricultural brands have you heard of (Please select all that apply)?,Hero EM
Q36_t,Q31_Which of the following agricultural brands have you heard of (Please select all that apply)?,"Myanmar Sein, Fish Amino"
Q36_u,Q31_Which of the following agricultural brands have you heard of (Please select all that apply)?,Aung Takon
Q36_v,Q31_Which of the following agricultural brands have you heard of (Please select all that apply)?,None of the above
Q38_l,Q36_Where do you hear about Yetagon?,From Facebook
Q38_m,Q36_Where do you hear about Yetagon?,From Yetagon's staff
Q38_n,Q36_Where do you hear about Yetagon?,From Signage
Q38_o,Q36_Where do you hear about Yetagon?,Form Delaer shop
Q38_other_text,"Q36_If other, please specify",
Q40,"Q37_On a scale of 0 to 10, how likely are you to recommend Yetagon to a friend or colleague?",
Q41,Q38_Why do you choose this NPS score?,
