code,question,option
Q16_other_text,,"If other, please specify"
Q18_a,,To read the news
Q18_b,,To find information about farming
Q18_c,,To contact with friends and family
Q18_d,,For entertainment
Q18_e,,Others
Q18_other_text,,"If other, please specify."
Q19_a,,too complicated to use
Q19_b,,Poor Internet
Q19_c,,Internet price are so expensive
Q19_d,,Have to change the mobile numbers due to the poor connection
Q19_e,,Others
Q19_other_text,,"If other, please specify"
Q21_a,,To read the news
Q21_b,,To find information about farming
Q21_c,,To contact with friends and family
Q21_d,,For entertainment
Q21_e,,other
Q21_other_text,,If other. Please specify
Q22_a,,too complicated to use
Q22_b,,Poor Internet
Q22_c,,Internet price are so expensive
Q22_d,,Have to change the mobile numbers due to the poor connection
Q22_e,,Others
Q22_other_text,,If other. Please specify
Q24_a,,To read the news
Q24_b,,To find information about farming
Q24_c,,To contact with friends and family
Q24_d,,For entertainment
Q24_e,,other
Q24_other_text,,"If other, please specify"
Q25_a,,too complicated to use
Q25_b,,Poor Internet
Q25_c,,Internet price are so expensive
Q25_d,,Have to change the mobile numbers due to the poor connection
Q25_e,,Others
Q25_other_text,,"If other, please specify"
Q28_other_text,,"If other, please specify"
Q29_other_text,,"If other, please specify"
Q31_a,,Yetagon Irrigation (ရေတံခွန် ရေသွင်းပစ္စည်း)
Q31_b,,Yetagon EM/Zarmani (ရေတံခွန် ဇာမဏီစွမ်း)
Q31_c,,Yetagon Trichoderma/Barhmati (ရေတံခွန် ဘာမထီစမ်း)
Q31_d,,Yetagon Tele-agronomy
Q31_e,,Yetagon Sun-kissed (နေခြည်ဆမ်း)
Q31_f,,Yetagon Fish Amino (ပုလဲဆန်း)
Q31_g,,Po Chat
Q31_h,,Messenger
Q31_i,,Digital farm practices
Q31_j,,None of the above
Q31_k,,EM
Q31_l,,Other (open end)
Q31_other_text,,"If other, please specify"
Q32_a,,No Burn Rice Farming
Q32_b,,Salt Water Seed Selection
Q32_c,,Basal Fertilizer Usage for Rice
Q32_d,,Mid-season Fertilizer Usage for Rice
Q32_e,,Paddy Liming Acid
Q32_f,,Gypsum Appication
Q32_g,,Boron Foliar Spray
Q32_h,,Epsom Salt Foliar Spray
Q32_i,,Neem Pesticide
Q32_j,,Fish Amino
Q32_k,,Other (open end)
Q32_other_text,,"If other, please specify"
Q33_a,,Yetagon Irrigation (ရေတံခွန် ရေသွင်းပစ္စည်း)
Q33_b,,Yetagon EM/Zarmani (ရေတံခွန် ဇာမဏီစွမ်း)
Q33_c,,Yetagon Trichoderma/Barhmati (ရေတံခွန် ဘာမထီစမ်း)
Q33_d,,Yetagon Tele-agronomy
Q33_e,,Yetagon Tele-agronomy.1
Q33_f,,Digital farm practices
Q33_g,,None of the above
Q33_h,,Other (open end)
Q33_i,,Yetagon Sun-kissed (နေခြည်ဆမ်း)
Q33_j,,Yetagon Fish Amino (ပုလဲဆန်း)
Q33_k,,Po Chat
Q33_l,,Messenger
Q33_other_text,,"If other, please specify"
Q34_a,,No Burn Rice Farming
Q34_b,,Salt Water Seed Selection
Q34_c,,Basal Fertilizer Usage for Rice
Q34_d,,Mid-season Fertilizer Usage for Rice
Q34_e,,Paddy Liming Acid
Q34_f,,Gypsum Appication
Q34_g,,Boron Foliar Spray
Q34_h,,Epsom Salt Foliar Spray
Q34_i,,Neem Pesticide
Q34_j,,Fish Amino
Q34_k,,Other
Q34_other_text,,"If other, please specify"
Q35_other_text,,"If other, please specify"
Q36_a,,From Facebook
Q36_b,,From Yetagon's staff
Q36_c,,From Signage
Q36_d,,Form Delaer shop
Q36_e,,other
Q36_f,,TRI-S
Q36_g,,Tricho Power
Q36_h,,Transform
Q36_i,,Sote Phwar
Q36_j,,Shwe Tet Lan
Q36_k,,Hatake
Q36_l,,Ywat Lwint
Q36_m,,Pyan Lwar
Q36_n,,Doh Kyay Let
Q36_o,,Eco-Vital Bio-stimulant
Q36_p,,Other
Q36_other_text,,"If other, please specify"
Q37_a,,Yes
Q37_b,,No
Q37_c,,TRI-S
Q37_d,,Tricho Power
Q37_e,,Transform
Q37_f,,Sote Phwar
Q37_g,,Shwe Tet Lan
Q37_h,,Hatake
Q37_i,,Ywat Lwint
Q37_j,,Pyan Lwar
Q37_k,,Doh Kyay Let
Q37_l,,Eco-Vital Bio-stimulant
Q37_m,,Other
Q37_other_text,,"If other, please specify"
Q38_a,,0
Q38_b,,1
Q38_c,,2
Q38_d,,3
Q38_e,,4
Q38_f,,5
Q38_g,,6
Q38_h,,7
Q38_i,,8
Q38_j,,9
Q38_k,,10
Q38_l,,From Facebook
Q38_m,,From Yetagon's staff
Q38_n,,From Signage
Q38_o,,Form Delaer shop
Q38_p,,other
Q38_other_text,,"If other, please specify"
Q36_other_text,,"If other, please specify.1"
